Year,Type,Fund_Name,Assets,Liabilities,County
2016,fire,Manteno Community FPD Firefighters Pension Fund,5199116.34,5753802.3,Kankakee
2016,fire,Marion Firefighters Pension Fund,10122280.1,15550217.13,Williamson
2016,fire,Markham Firefighters Pension Fund,7511317.84,8710749.59,Cook
2016,fire,Maryville Firefighter'S Pension Fund,858033.72,1589110.49,Madison
2016,fire,Matteson Firefighters Pension Fund,20699188.86,37038320.4,Cook
2016,fire,Mattoon Firefighters Pension Fund,16391311.24,39656529.27,Coles
2016,fire,Maywood Firefighters Pension Fund,17598359.24,44982866.47,Cook
2016,fire,Mccook Firefighters Pension Fund,779892.82,1318382.33,Cook
2016,fire,Mchenry Township Firefighters Pension Fund,4431307.47,859058.42,McHenry
2016,fire,Melrose Park Firefighters Pension Fund,19399043.56,81223844.81,Cook
2016,fire,Mendota Firefighters Pension Fund,2701655.06,4080518.21,LaSalle
2016,fire,Metropolis Firefighters Pension Fund,4328110.11,7549388.89,Massac
2016,fire,Midlothian Firefighters Pension Fund,7938666.95,15881056.84,Cook
2016,fire,Minooka FPD Firefighters Pension Fund,3995499.7,3565469.1,Grundy
2016,fire,Mokena FPD Firefighters Pension Fund,11731168.33,14518619.21,Will
2016,fire,Moline Firefighters Pension Fund,28835618.03,88060421.46,Rock Island
2016,fire,Monmouth Firefighters Pension Fund,4970894.36,13013666.88,Warren
2016,fire,Montgomery & Countryside FPD Firefighter'S Pension,404923.29,500274.93,Kane
2016,fire,Morris Firefighters' Pension Fund,130064.63,121896.32,Grundy
2016,fire,Morton Grove Firefighters Pension Fund,32862286.03,61443243.93,Cook
2016,fire,Mt Carmel Firefighters Pension Fund,1622931.29,2897513.72,Wabash
2016,fire,Mt Prospect Firefighters Pension Fund,59220523.13,103196998.3,Cook
2016,fire,Mt Vernon Firefighters Pension Fund,14732894.34,23377344.15,Jefferson
2016,fire,Mt Zion FPD Firefighters Pension Fund,1086535.93,1047119.49,Macon
2016,fire,Mundelein Firefighters Pension Fund,18621915.36,25127685.16,Lake
2016,fire,Murphysboro Firefighters Pension Fund,4644995.7,8429272.22,Jackson
2016,fire,Naperville Firefighters Pension Fund,156257597.7,207248133.5,DuPage
2016,fire,New Lenox FPD Firefighters Pension Fund,3833124.85,3430362.74,Will
2016,fire,Newport Township FPD Firefighters Pension Fund,1167920,1963154.44,Lake
2016,fire,Niles Firefighters Pension Fund,30176502.68,72252680.27,Cook
2016,fire,Normal Firefighters Pension Fund,29392507.85,52036933.28,McLean
2016,fire,North Aurora FPD Firefighters Pension Fund,7674160.92,9128636.33,Kane
2016,fire,North Chicago Firefighters Pension Fund,9409281.22,26649027.74,Lake
2016,fire,North Maine FPD Firefighters Pension Fund,21061054.14,31334200.73,Cook
2016,fire,North Palos FPD Firefighters Pension Fund,14702285.18,21236125.35,Cook
