Year,Type,Fund_Name,Assets,Liabilities
2005,fire,ST CHARLES FIREFIGHTERS PENSION FUND,13314213.82,16275238.23
2005,fire,STERLING FIREFIGHTERS PENSION FUND,9379132,12620315.18
2005,fire,STREAMWOOD FIREFIGHTERS PENSION FUND,15005500.13,18878457.76
2005,fire,STREATOR FIREFIGHTERS PENSION FUND,4570757.08,7321219.98
2005,fire,SULLIVAN FPD FIREFIGHTERS PENSION FUND,2501570.7,2882025.67
2005,fire,SWANSEA FIREFIGHTERS PENSION FUND,111895.47,167381.55
2005,fire,SYCAMORE FIREFIGHTERS PENSION FUND,6487523.29,9772086.12
2005,fire,TAYLORVILLE FIREFIGHTERS PENSION FUND,3346040.18,4162821.42
2005,fire,TRI-STATE FPD FIREFIGHTERS PENSION FUND,13132104.88,14992811.53
2005,fire,TRI-TOWNSHIP FPD FIREFIGHTERS PENSION FUND,1987009.96,2780674.07
2005,fire,UNIVERSITY PARK FIREFIGHTERS PENSION FUND,2751294.12,3228309.49
2005,fire,URBANA FIREFIGHTERS PENSION FUND,23835643.83,28032009.25
2005,fire,VILLA PARK FIREFIGHTERS PENSION FUND,9434210.06,11109117.71
2005,fire,WARRENVILLE FPD FIREFIGHTERS PENSION FUND,1674446.36,757098.67
2005,fire,WASHINGTON PARK FIREFIGHTERS PENSION FUND,406445.37,852751.75
2005,fire,WAUKEGAN FIREFIGHTERS PENSION FUND,36578327.7,67448943.93
2005,fire,WEST CHICAGO FPD FIREFIGHTERS PENSION FUND,15219779,14000567.08
2005,fire,WEST DUNDEE FIREFIGHTERS PENSION FUND,2479274.53,3789099.94
2005,fire,WEST FRANKFORT FIREFIGHTERS PENSION FUND,4035138.75,5046291.2
2005,fire,WESTCHESTER FIREFIGHTERS PENSION FUND,13943121.44,17003305.97
2005,fire,WESTERN SPRINGS FIREFIGHTERS PENSION FUND,335043,786105.84
2005,fire,WHEATON FIREFIGHTERS PENSION FUND,11190678.67,16790544.05
2005,fire,WHEELING FIREFIGHTERS PENSION FUND,23055116.13,32480997.2
2005,fire,WILLIAMSON COUNTY FIREFIGHTERS PENSION FUND,146076.67,176158.89
2005,fire,WILLOW SPRINGS FIREFIGHTERS PENSION FUND,65618.86,760346.5
2005,fire,WILMETTE FIREFIGHTERS PENSION FUND,25602565.04,38103572.46
2005,fire,WIN-BUR-SEW FPD FIREFIGHTERS PENSION FUND,71983,91161.77
2005,fire,WINFIELD FPD FIREFIGHTERS PENSION FUND,1502832.89,1596200.69
2005,fire,WINNETKA FIREFIGHTERS PENSION FUND,15143335.28,21898780.44
2005,fire,WOOD DALE FPD FIREFIGHTERS PENSION FUND,8890348.96,14518641.58
2005,fire,WOOD RIVER FIREFIGHTERS PENSION FUND,3669096.46,5231942.72
2005,fire,WOODSTOCK FIRE/RESCUE DIST. FIREFIGHTERS' PENSION,584180.14,1177041.07
2005,fire,WORTH FIREFIGHTERS PENSION FUND,1654172.02,2098074.49
2005,fire,YORK CENTER FIRE PROTECTION DISTRICT,128459.97,104781.05
2005,fire,ZION FIREFIGHTERS PENSION FUND,11066554.12,15541204.38
2005,police,ADDISON POLICE PENSION FUND,25149144.98,38211154.12
2005,police,ALGONQUIN POLICE PENSION FUND,5744425.2,10958092.39
2005,police,ALSIP POLICE PENSION FUND,13393891.93,28999240.5
2005,police,ALTON POLICE PENSION FUND,15245774.86,44246283.02
2005,police,ANNA POLICE PENSION FUND,1342259.64,2305349.32
2005,police,ANTIOCH POLICE PENSION FUND,3591436.75,9202132.33
